,name,distance,moving_time,total_elevation_gain,sport_type,id,start_date_local,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_heartrate,max_heartrate,elev_high,elev_low,average_watts,kilojoules,device_watts,max_watts,weighted_average_watts,minutes_moving,hour_activity,day_of_week,week_of_year,month,year
70,Bicicleta por la mañana,17.13,2189,109.0,Ride,8624827000,31-10-2022,"[40.641660718247294, -3.164210021495819]","[40.63812808133662, -3.1626015342772007]",28.18,43.03,84.0,14.0,,,630.6,579.0,178.8,391.4,True,729.0,199.0,36.48,9,Monday,44,10,2022
71,Rodaje con los gudaris del maratón ,18.84,5318,0.0,Run,8040982449,30-10-2022,"[40.63858548179269, -3.16264939494431]","[40.63855346292257, -3.163160188123584]",12.75,22.45,80.8,41.0,162.3,184.0,6892.8,6892.8,,,,,,88.63,8,Sunday,43,10,2022
72,Carrera de noche,6.15,1806,76.5,Run,8033277479,28-10-2022,"[40.63846377655864, -3.163168905302882]","[40.63836327753961, -3.162724580615759]",12.26,17.13,79.4,41.0,148.5,165.0,736.2,686.3,,,,,,30.1,19,Friday,43,10,2022
73,Carrera Alcalá 10km,10.13,2263,13.0,Run,8006062159,23-10-2022,"[40.479589495807886, -3.357540210708976]","[40.48342195339501, -3.3644821867346764]",16.11,21.3,83.8,41.0,178.3,200.0,594.3,585.6,,,,,,37.72,10,Sunday,42,10,2022
74,Calentamiento Carrera Alcalá ,2.04,631,0.0,Run,8006059587,23-10-2022,[],[],11.67,19.55,82.5,41.0,134.7,165.0,593.7,590.1,,,,,,10.52,9,Sunday,42,10,2022
75,Vuelta a la pisci...,1.25,1349,0.0,Swim,8003353305,22-10-2022,[],[],3.34,11.25,22.5,,,,0.0,,,,,,,22.48,18,Saturday,42,10,2022
76,5 x 4-2' con Javi y Danilo,12.16,3450,87.4,Run,7991189584,20-10-2022,"[40.62741785310209, -3.151257634162903]","[40.63836327753961, -3.162860870361328]",12.68,21.41,81.0,41.0,173.7,199.0,737.7,698.8,,,,,,57.5,8,Thursday,42,10,2022
77,5 x cuesta Ahorra Más,6.33,1881,78.6,Run,7981443212,18-10-2022,"[40.63839462585747, -3.163237553089857]","[40.63844081014395, -3.162886183708906]",12.11,21.66,80.5,41.0,151.8,178.0,719.8,686.0,,,,,,31.35,12,Tuesday,42,10,2022
78,Carrera Centenera Vega del Matayeguas,11.01,3568,340.6,Run,7981443277,15-10-2022,"[40.65265743993223, -3.0547286197543144]","[40.652208756655455, -3.054837165400386]",11.11,19.68,76.4,41.0,148.4,185.0,958.6,804.0,,,,,,59.47,10,Saturday,41,10,2022
79,Calentamiento Carrera Centenera Vega del Matayeguas,3.06,999,5.2,Run,7981442796,15-10-2022,[],[],11.02,22.74,80.4,41.0,127.4,138.0,809.6,804.0,,,,,,16.65,9,Saturday,41,10,2022
80,4*2000 con los gudaris,16.19,4551,74.4,Run,7950538016,12-10-2022,"[40.63866896554828, -3.163249623030424]","[40.63993010669947, -3.1651608645915985]",12.81,20.95,80.2,41.0,165.4,212.0,697.4,635.6,,,,,,75.85,9,Wednesday,41,10,2022
81,Rodaje suave,5.98,1834,67.4,Run,7942894469,10-10-2022,"[40.63841097056866, -3.1630457751452923]","[40.638384483754635, -3.162910407409072]",11.73,18.33,79.8,41.0,146.5,170.0,737.7,686.0,,,,,,30.57,20,Monday,41,10,2022
82,Rodaje con los gudaris,26.58,7538,0.0,Run,7934530628,09-10-2022,"[40.63827560283244, -3.16218176856637]","[40.63827434554696, -3.162098955363035]",12.69,31.55,82.4,41.0,148.4,178.0,6892.8,6892.8,,,,,,125.63,8,Sunday,40,10,2022
83,Probando Tempo Next,9.55,2642,14.2,Run,7934529953,08-10-2022,"[40.59568874537945, -3.1085155438631773]","[40.595416417345405, -3.108806060627103]",13.01,21.34,81.4,41.0,164.7,206.0,919.5,913.4,,,,,,44.03,9,Saturday,40,10,2022
84,Series rio BT,11.5,3163,19.5,Run,7916973386,05-10-2022,"[40.64402709715068, -3.170107528567314]","[40.64092948101461, -3.1787037570029497]",13.09,21.26,81.0,41.0,155.4,186.0,669.0,635.6,,,,,,52.72,19,Wednesday,40,10,2022
85,Carrera de noche,5.68,1668,55.6,Run,7911060846,04-10-2022,"[40.6313372310251, -3.165063802152872]","[40.63823528587818, -3.162483936175704]",12.27,25.16,80.0,41.0,147.7,170.0,732.4,701.8,,,,,,27.8,18,Tuesday,40,10,2022
86,Rodaje mañanero con los gudaris del maratón,11.25,3320,70.5,Run,7898000033,02-10-2022,"[40.643753092736006, -3.1707888934761286]","[40.63883861526847, -3.163475263863802]",12.2,31.79,81.0,41.0,159.2,179.0,696.9,635.9,,,,,,55.33,8,Sunday,39,10,2022
87,2*5*600 Biketimetri,16.4,4966,93.6,Run,7890893430,30-09-2022,"[40.63812824897468, -3.162578148767352]","[40.638286331668496, -3.162718964740634]",11.89,23.37,78.3,41.0,149.0,178.0,737.7,699.2,,,,,,82.77,18,Friday,39,9,2022
88,Farola y volver suave,7.01,2105,71.6,Run,7890893067,29-09-2022,"[40.632178857922554, -3.1809156574308872]","[40.63878497108817, -3.163496805354953]",11.99,22.82,79.1,41.0,146.0,166.0,697.0,635.6,,,,,,35.08,19,Thursday,39,9,2022
89,Pistas con David,10.33,2994,57.9,Run,7881351446,28-09-2022,"[40.627323472872376, -3.1518461275845766]","[40.637968238443136, -3.162789372727275]",12.42,20.62,80.2,41.0,155.4,179.0,737.7,682.2,,,,,,49.9,19,Wednesday,39,9,2022
90,Buena tarde mejor compañía 1.0,12.48,3496,134.8,Run,7870714754,26-09-2022,"[40.638528652489185, -3.1626898795366287]","[40.63832673244178, -3.1629414204508066]",12.86,30.45,80.5,41.0,163.0,182.0,772.1,698.7,,,,,,58.27,17,Monday,39,9,2022
91,Retomando...,9.84,2709,100.6,Run,7862792420,25-09-2022,"[40.63918864354491, -3.1633617728948593]","[40.638373671099544, -3.162817284464836]",13.08,32.05,80.5,41.0,151.5,179.0,755.7,698.9,,,,,,45.15,8,Sunday,38,9,2022
92,Rodaje suave Raya y vuelta 2 ,5.63,1605,30.2,Run,7853590360,23-09-2022,"[40.65253732725978, -3.0548773985356092]","[40.65197288990021, -3.055176381021738]",12.63,19.33,78.9,41.0,161.6,186.0,820.2,799.6,,,,,,26.75,11,Friday,38,9,2022
93,Rodaje con Javi ,10.1,2847,49.2,Run,7842069265,21-09-2022,"[40.66787503659725, -3.1998212076723576]","[40.667945025488734, -3.1987939216196537]",12.77,24.6,80.1,41.0,164.8,183.0,687.6,665.7,,,,,,47.45,6,Wednesday,38,9,2022
94,Rodaje progresivo,7.18,1989,69.1,Run,7803258807,13-09-2022,"[40.63868271186948, -3.1624598801136017]","[40.637999419122934, -3.16283555701375]",12.99,39.12,79.5,41.0,160.4,174.0,736.0,683.8,,,,,,33.15,20,Tuesday,37,9,2022
